# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   42       1.694109601499e-10       8.952186789791e-15       2.179440627677e-13       0.000000000000e+00       8.164607088813e-11       8.910575010982e-12      -5.733019280192e-15 
   43       1.718482738946e-10       9.679631294260e-15       2.061520394528e-13       0.000000000000e+00       7.774654056043e-11       8.520185396593e-12      -6.083977413280e-15 
   44       1.743094823354e-10       1.044442808386e-14       1.930563386546e-13       0.000000000000e+00       7.409678514412e-11       8.154297205780e-12      -7.078425267712e-15 
   45       1.767943615618e-10       1.124584933183e-14       1.785120421269e-13       0.000000000000e+00       7.066133003004e-11       7.812395471635e-12      -8.355767861447e-15 
   46       1.793051719648e-10       1.208406773575e-14       1.624053782157e-13       0.000000000000e+00       6.743478337480e-11       7.493765696524e-12      -9.710226487682e-15 
   47       1.818430220473e-10       1.295946884065e-14       1.446219013419e-13       0.000000000000e+00       6.441339895350e-11       7.196786134841e-12      -1.095628586405e-14 
   48       1.844063428240e-10       1.387238911016e-14       1.250339379135e-13       0.000000000000e+00       6.158384728478e-11       6.918605539083e-12      -1.187663154121e-14 
   49       1.869906520281e-10       1.482311417685e-14       1.034998061668e-13       0.000000000000e+00       5.892250292230e-11       6.655056466834e-12      -1.222049802547e-14 
   50       1.895908689750e-10       1.581187856369e-14       7.990214930523e-14       0.000000000000e+00       5.640256224963e-11       6.401849603593e-12      -1.178559356004e-14 
   51       1.922095469512e-10       1.683886881819e-14       5.427701148813e-14       0.000000000000e+00       5.401932804289e-11       6.158740042364e-12      -1.069392275427e-14 
   52       1.948504678305e-10       1.790421820464e-14       2.671844950794e-14       0.000000000000e+00       5.177055615643e-11       5.926342039374e-12      -9.187977517923e-15 
   53       1.975161737046e-10       1.900800366687e-14      -2.656483007985e-15       0.000000000000e+00       4.964888882078e-11       5.704921055428e-12      -7.555931026167e-15 
   54       2.002078511204e-10       2.015024414784e-14      -3.370667513035e-14       0.000000000000e+00       4.764151042835e-11       5.494367345997e-12      -6.133918861445e-15 
   55       2.029259178068e-10       2.133091212335e-14      -6.630069539146e-14       0.000000000000e+00       4.573405881818e-11       5.294344451080e-12      -5.226780801661e-15 
   56       2.056722187407e-10       2.254997540806e-14      -1.004302458406e-13       0.000000000000e+00       4.392428552190e-11       5.104838364595e-12      -4.842003361747e-15 
   57       2.084481728634e-10       2.380736279165e-14      -1.361230349203e-13       0.000000000000e+00       4.221118609778e-11       4.925698531411e-12      -4.893678466814e-15 
   58       2.112540319195e-10       2.510295059438e-14      -1.734107384261e-13       0.000000000000e+00       4.059086741715e-11       4.756455731202e-12      -5.277375797860e-15 
   59       2.140887920641e-10       2.643656150151e-14      -2.123292947758e-13       0.000000000000e+00       3.905636924880e-11       4.596302482803e-12      -5.869247075697e-15 
   60       2.169501054694e-10       2.780796339777e-14      -2.529192002782e-13       0.000000000000e+00       3.759748584337e-11       4.444073448577e-12      -6.525130344889e-15 
   61       2.198354827600e-10       2.921683526972e-14      -2.952177278416e-13       0.000000000000e+00       3.620360055849e-11       4.298555966666e-12      -7.110604497369e-15 
   62       2.227464156820e-10       3.066265860611e-14      -3.392328741146e-13       0.000000000000e+00       3.487333687107e-11       4.159547429965e-12      -7.601062371064e-15 
   63       2.256850271671e-10       3.214479944192e-14      -3.849640618483e-13       0.000000000000e+00       3.360676689538e-11       4.027001554530e-12      -8.002612894651e-15 
   64       2.286528156658e-10       3.366253697267e-14      -4.324097386667e-13       0.000000000000e+00       3.240250832455e-11       3.900710254753e-12      -8.323197582037e-15 
   65       2.316506077107e-10       3.521506134395e-14      -4.815674160723e-13       0.000000000000e+00       3.125764161654e-11       3.780294522428e-12      -8.572676843990e-15 
   66       2.346785104807e-10       3.680147144093e-14      -5.324337084525e-13       0.000000000000e+00       3.016762718005e-11       3.665195305824e-12      -8.762916299777e-15 
   67       2.377358643650e-10       3.842077267790e-14      -5.850043720855e-13       0.000000000000e+00       2.912622256041e-11       3.554664388753e-12      -8.907873088794e-15 
   68       2.408218533487e-10       4.007196844243e-14      -6.392722833445e-13       0.000000000000e+00       2.812714990555e-11       3.447969261523e-12      -9.021576269316e-15 
   69       2.439375858237e-10       4.175436088527e-14      -6.952208104022e-13       0.000000000000e+00       2.716967582269e-11       3.345076326673e-12      -9.111399882553e-15 
   70       2.470843521259e-10       4.346730738745e-14      -7.528291623606e-13       0.000000000000e+00       2.625401857149e-11       3.246090379533e-12      -9.183575625495e-15 
   71       2.502629739558e-10       4.521013247972e-14      -8.120743177645e-13       0.000000000000e+00       2.537966045361e-11       3.151049282463e-12      -9.245210031525e-15 
   72       2.534737737663e-10       4.698212802732e-14      -8.729310109016e-13       0.000000000000e+00       2.454530976278e-11       3.059920316861e-12      -9.304316922388e-15 
   73       2.567165441509e-10       4.878255341478e-14      -9.353717181031e-13       0.000000000000e+00       2.374886273496e-11       2.972596535170e-12      -9.369849860159e-15 
   74       2.599905172314e-10       5.061063573068e-14      -9.993666440432e-13       0.000000000000e+00       2.298736549839e-11       2.888893112890e-12      -9.451734599215e-15 
   75       2.632943340464e-10       5.246556995247e-14      -1.064883708039e-12       0.000000000000e+00       2.225697602375e-11       2.808543700582e-12      -9.560901538201e-15 
   76       2.666266575139e-10       5.434638481949e-14      -1.131886851381e-12       0.000000000000e+00       2.155391794812e-11       2.731272388513e-12      -9.705960094451e-15 
   77       2.699882080327e-10       5.625151180656e-14      -1.200330633242e-12       0.000000000000e+00       2.087762696224e-11       2.657032815014e-12      -9.882449959604e-15 
   78       2.733800451917e-10       5.817913752118e-14      -1.270164619840e-12       0.000000000000e+00       2.022811171889e-11       2.585806235597e-12      -1.008167961072e-14 
   79       2.768029399926e-10       6.012732851457e-14      -1.341334928633e-12       0.000000000000e+00       1.960499543520e-11       2.517527714916e-12      -1.029387468177e-14 
   80       2.802573574348e-10       6.209402871219e-14      -1.413784180189e-12       0.000000000000e+00       1.900749818195e-11       2.452084029273e-12      -1.050814155554e-14 
   81       2.837434391004e-10       6.407705684443e-14      -1.487451450059e-12       0.000000000000e+00       1.843441917289e-11       2.389311569124e-12      -1.071243095545e-14 
   82       2.872609857398e-10       6.607410387719e-14      -1.562272220649e-12       0.000000000000e+00       1.788411905399e-11       2.328994241586e-12      -1.089350153746e-14 
   83       2.908094398559e-10       6.808273044246e-14      -1.638178333092e-12       0.000000000000e+00       1.735450219273e-11       2.270861372945e-12      -1.103688348194e-14 
   84       2.943882154284e-10       7.010059508596e-14      -1.715104961034e-12       0.000000000000e+00       1.684352603339e-11       2.214652398235e-12      -1.112992806402e-14 
   85       2.979977880352e-10       7.212618811368e-14      -1.793012965770e-12       0.000000000000e+00       1.635086497772e-11       2.160327846322e-12      -1.117161698658e-14 
   86       3.016387543611e-10       7.415821525638e-14      -1.871870176106e-12       0.000000000000e+00       1.587649115123e-11       2.107889648652e-12      -1.116432003526e-14 
   87       3.053114897163e-10       7.619537895973e-14      -1.951644764806e-12       0.000000000000e+00       1.542016314019e-11       2.057316501367e-12      -1.111086891517e-14 
   88       3.090161364567e-10       7.823637969423e-14      -2.032305318478e-12       0.000000000000e+00       1.498141713919e-11       2.008562890289e-12      -1.101457270790e-14 
   89       3.127525924024e-10       8.027991726514e-14      -2.113820907464e-12       0.000000000000e+00       1.455955809870e-11       1.961558115892e-12      -1.087923332859e-14 
   90       3.165204992574e-10       8.232469212229e-14      -2.196161155720e-12       0.000000000000e+00       1.415365087257e-11       1.916205318282e-12      -1.070916098298e-14 
   91       3.203192310290e-10       8.436940667003e-14      -2.279296310709e-12       0.000000000000e+00       1.376251136560e-11       1.872380502181e-12      -1.050918962447e-14 
   92       3.241478824468e-10       8.641276657707e-14      -2.363197313287e-12       0.000000000000e+00       1.338469768105e-11       1.829931561896e-12      -1.028469241117e-14 
   93       3.280055673364e-10       8.845338361812e-14      -2.447828980590e-12       0.000000000000e+00       1.301885225162e-11       1.788715552767e-12      -1.004101611411e-14 
   94       3.318923902264e-10       9.048946463818e-14      -2.533128230082e-12       0.000000000000e+00       1.266480632134e-11       1.748719035559e-12      -9.781653462458e-15 
   95       3.358086001399e-10       9.251907801259e-14      -2.619022694377e-12       0.000000000000e+00       1.232262598345e-11       1.709954113376e-12      -9.509823218401e-15 
   96       3.397542864322e-10       9.454024790598e-14      -2.705437292099e-12       0.000000000000e+00       1.199227201761e-11       1.672421353939e-12      -9.229034114548e-15 
   97       3.437293714654e-10       9.655095423049e-14      -2.792294203232e-12       0.000000000000e+00       1.167359585530e-11       1.636109339564e-12      -8.943092335011e-15 
   98       3.477336032821e-10       9.854913260396e-14      -2.879512844470e-12       0.000000000000e+00       1.136633554526e-11       1.600994217151e-12      -8.656108996498e-15 
   99       3.517665482795e-10       1.005326743082e-13      -2.967009844568e-12       0.000000000000e+00       1.107011171893e-11       1.567039248157e-12      -8.372507629406e-15 
  100       3.558275838832e-10       1.024994262472e-13      -3.054699019690e-12       0.000000000000e+00       1.078442355590e-11       1.534194358584e-12      -8.097031658916e-15 
  101       3.599158912217e-10       1.044471909053e-13      -3.142491348761e-12       0.000000000000e+00       1.050864474929e-11       1.502395688954e-12      -7.834751886083e-15 
  102       3.640304477996e-10       1.063737263055e-13      -3.230294948818e-12       0.000000000000e+00       1.024201947123e-11       1.471565144297e-12      -7.591073968930e-15 
  103       3.681700201723e-10       1.082767459678e-13      -3.318015050358e-12       0.000000000000e+00       9.983658338253e-12       1.441609944128e-12      -7.371745903537e-15 
  104       3.723334267177e-10       1.101540238570e-13      -3.405559868656e-12       0.000000000000e+00       9.732740036858e-12       1.412444218291e-12      -7.181533167203e-15 
  105       3.765203821568e-10       1.120037254622e-13      -3.492859174089e-12       0.000000000000e+00       9.489155909177e-12       1.384058086193e-12      -7.020024210646e-15 
