# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.505109352293e-10       7.611575044805e-15       4.559635598917e-13       0.000000000000e+00       8.179520191113e-09       4.050181493660e-10      -2.550365489822e-12 
    3       1.449947832352e-10       1.266654576902e-14       5.863109957409e-13       0.000000000000e+00       5.073627119160e-09       3.103427172208e-10      -2.224065828856e-12 
    4       1.369857651022e-10       1.443361111522e-14       6.115843772627e-13       0.000000000000e+00       3.544643666942e-09       2.465651329395e-10      -1.749938149344e-12 
    5       1.300862782250e-10       1.297105942759e-14       5.736735029843e-13       0.000000000000e+00       2.652493997029e-09       2.014217040594e-10      -1.273633157903e-12 
    6       1.247933707814e-10       9.688811724643e-15       5.038184278926e-13       0.000000000000e+00       2.075130194609e-09       1.679815654227e-10      -8.448974678804e-13 
    7       1.209391014046e-10       6.209742295860e-15       4.235003009441e-13       0.000000000000e+00       1.675271985291e-09       1.423742964474e-10      -4.888646282842e-13 
    8       1.183548698954e-10       3.583739841563e-15       3.454519727424e-13       0.000000000000e+00       1.384647784730e-09       1.223164012704e-10      -2.157654832179e-13 
    9       1.166791299929e-10       2.097330073536e-15       2.773146701935e-13       0.000000000000e+00       1.165916018532e-09       1.063209187156e-10      -2.555459517946e-14 
   10       1.157665917258e-10       1.493207858077e-15       2.232538516582e-13       0.000000000000e+00       9.969327038638e-10       9.332442739375e-11       8.942820469559e-14 
   11       1.154282953911e-10       1.330457286588e-15       1.846906224058e-13       0.000000000000e+00       8.431865154281e-10       8.358006044827e-11       1.416055508723e-13 
   12       1.155147763656e-10       1.263153315236e-15       1.610889480201e-13       0.000000000000e+00       7.372501412243e-10       7.427433340160e-11       1.469313079694e-13 
   13       1.159745343712e-10       1.145076271478e-15       1.503601861533e-13       0.000000000000e+00       6.502109254247e-10       6.666708088185e-11       1.215902989047e-13 
   14       1.167280388310e-10       9.884681610795e-16       1.495198227025e-13       0.000000000000e+00       5.777497794235e-10       6.026339895305e-11       7.958097608901e-14 
   15       1.176872280879e-10       8.632360991387e-16       1.553226372613e-13       0.000000000000e+00       5.167168404348e-10       5.464421922252e-11       3.279163330852e-14 
   16       1.188190227174e-10       8.158046554268e-16       1.646874752169e-13       0.000000000000e+00       4.647896967214e-10       4.978320329869e-11      -9.481988073628e-15 
   17       1.200864317847e-10       8.419569023217e-16       1.752012841293e-13       0.000000000000e+00       4.202176136996e-10       4.554724154915e-11      -4.163094727133e-14 
   18       1.215019500439e-10       9.016863606465e-16       1.852589155817e-13       0.000000000000e+00       3.815107040563e-10       4.185491734028e-11      -6.113532366237e-14 
   19       1.230546202669e-10       9.673874416404e-16       1.940793145631e-13       0.000000000000e+00       3.480593621853e-10       3.863025932815e-11      -6.815978943176e-14 
   20       1.246623649586e-10       1.018132327237e-15       2.011292192098e-13       0.000000000000e+00       3.185833474524e-10       3.570613627061e-11      -6.478321098171e-14 
   21       1.263428189847e-10       1.067093846617e-15       2.066621675249e-13       0.000000000000e+00       2.926238012165e-10       3.305348728633e-11      -5.393132854746e-14 
   22       1.281109163426e-10       1.140740368224e-15       2.112972871721e-13       0.000000000000e+00       2.695627053560e-10       3.065255529051e-11      -3.953692698047e-14 
   23       1.299566515775e-10       1.254075400254e-15       2.155593348215e-13       0.000000000000e+00       2.490857375408e-10       2.850577670210e-11      -2.462843652794e-14 
   24       1.318413959103e-10       1.416319462653e-15       2.199851813548e-13       0.000000000000e+00       2.307225167816e-10       2.659352584620e-11      -1.209618293759e-14 
   25       1.337701295229e-10       1.622609194602e-15       2.249601193106e-13       0.000000000000e+00       2.142585995618e-10       2.488170319085e-11      -3.355091522162e-15 
   26       1.357454031611e-10       1.862651443837e-15       2.307542216768e-13       0.000000000000e+00       1.993974921474e-10       2.331588442351e-11       8.428299903114e-16 
   27       1.377673458896e-10       2.132664691652e-15       2.372345833156e-13       0.000000000000e+00       1.859628116693e-10       2.187887052770e-11       7.736485700163e-16 
