# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.505114021897e-10       7.611807611555e-15       4.559635548371e-13       2.325667204792e-19       8.179520191113e-09       4.050181493660e-10      -2.550365489822e-12 
    3       1.449957151243e-10       1.266701112125e-14       5.863109732538e-13       4.653519417142e-19       5.073627119160e-09       3.103427172208e-10      -2.224065828856e-12 
    4       1.369873137852e-10       1.443438718116e-14       6.115843127971e-13       7.760645193031e-19       3.544643666942e-09       2.465651329395e-10      -1.749938149344e-12 
    5       1.300885929944e-10       1.297222440736e-14       5.736733565440e-13       1.164974907233e-18       2.652493997029e-09       2.014217040594e-10      -1.273633157903e-12 
    6       1.247965978274e-10       9.690444141700e-15       5.038181409217e-13       1.632403896441e-18       2.075130194609e-09       1.679815654227e-10      -8.448974678804e-13 
    7       1.209433833556e-10       6.211921038341e-15       4.234997936664e-13       2.178712113285e-18       1.675271985291e-09       1.423742964474e-10      -4.888646282842e-13 
    8       1.183603454371e-10       3.586544192098e-15       3.454511420004e-13       2.804288379859e-18       1.384647784730e-09       1.223164012704e-10      -2.157654832179e-13 
    9       1.166859335727e-10       2.100839726733e-15       2.773133878144e-13       3.509537394812e-18       1.165916018532e-09       1.063209187156e-10      -2.555459517946e-14 
   10       1.157748533450e-10       1.497502925134e-15       2.232519633539e-13       4.294867218621e-18       9.969327038638e-10       9.332442739375e-11       8.942820469559e-14 
   11       1.154381404866e-10       1.335618286976e-15       1.846879471919e-13       5.160677052825e-18       8.431865154281e-10       8.358006044827e-11       1.416055508723e-13 
   12       1.155263257774e-10       1.269261155756e-15       1.610852781211e-13       6.107345788436e-18       7.372501412243e-10       7.427433340160e-11       1.469313079694e-13 
   13       1.159879043919e-10       1.152212213442e-15       1.503552873435e-13       7.135221765148e-18       6.502109254247e-10       6.666708088185e-11       1.215902989047e-13 
   14       1.167433413298e-10       9.967137767039e-16       1.495134350160e-13       8.244614131456e-18       5.777497794235e-10       6.026339895305e-11       7.958097608901e-14 
   15       1.177045706990e-10       8.726732185721e-16       1.553144759965e-13       9.435786128430e-18       5.167168404348e-10       5.464421922252e-11       3.279163330852e-14 
   16       1.188385090826e-10       8.265153061123e-16       1.646772321527e-13       1.070895053951e-17       4.647896967214e-10       4.978320329869e-11      -9.481988073628e-15 
   17       1.201081618365e-10       8.540232425960e-16       1.751886288679e-13       1.206426745849e-17       4.202176136996e-10       4.554724154915e-11      -4.163094727133e-14 
   18       1.215260203225e-10       9.151906087463e-16       1.852434969793e-13       1.350184329749e-17       3.815107040563e-10       4.185491734028e-11      -6.113532366237e-14 
   19       1.230811242226e-10       9.824118074234e-16       1.940607619187e-13       1.502173892995e-17       3.480593621853e-10       3.863025932815e-11      -6.815978943176e-14 
   20       1.246913933182e-10       1.034758934754e-15       2.011071438172e-13       1.662396196277e-17       3.185833474524e-10       3.570613627061e-11      -6.478321098171e-14 
   21       1.263744600187e-10       1.085404672319e-15       2.066361634868e-13       1.830848997304e-17       2.926238012165e-10       3.305348728633e-11      -5.393132854746e-14 
   22       1.281452562041e-10       1.160817168810e-15       2.112669326379e-13       2.007526129036e-17       2.695627053560e-10       3.065255529051e-11      -3.953692698047e-14 
   23       1.299937745047e-10       1.275999661919e-15       2.155241924513e-13       2.192420265154e-17       2.490857375408e-10       2.850577670210e-11      -2.462843652794e-14 
   24       1.318813845022e-10       1.440172339751e-15       2.199447992144e-13       2.385521993713e-17       2.307225167816e-10       2.659352584620e-11      -1.209618293759e-14 
   25       1.338130648336e-10       1.648471476196e-15       2.249140310314e-13       2.586823044254e-17       2.142585995618e-10       2.488170319085e-11      -3.355091522162e-15 
   26       1.357913648846e-10       1.890603507081e-15       2.307019470605e-13       2.796315155877e-17       1.993974921474e-10       2.331588442351e-11       8.428299903114e-16 
   27       1.378164123741e-10       2.162786481135e-15       2.371756284632e-13       3.013992905133e-17       1.859628116693e-10       2.187887052770e-11       7.736485700163e-16 
   28       1.398777616593e-10       2.462878362896e-15       2.439977325569e-13       3.239852980689e-17       1.737250584199e-10       2.055591338313e-11      -2.702571865098e-15 
   29       1.419814696768e-10       2.790336565991e-15       2.507726512857e-13       3.473897446453e-17       1.626224368256e-10       1.934583014679e-11      -8.430938341865e-15 
   30       1.441258887991e-10       3.144790266328e-15       2.569860131763e-13       3.716131902843e-17       1.525361072852e-10       1.824091217051e-11      -1.483427580171e-14 
   31       1.462985529074e-10       3.525384393257e-15       2.620610647083e-13       3.966565472618e-17       1.432609276352e-10       1.722408756289e-11      -2.019267214047e-14 
   32       1.485032078773e-10       3.930597903547e-15       2.656591905195e-13       4.225212990806e-17       1.347496399738e-10       1.629020289661e-11      -2.385715776856e-14 
   33       1.507401815154e-10       4.358289906275e-15       2.674845161764e-13       4.492094400337e-17       1.269428671986e-10       1.543079450306e-11      -2.547793007509e-14 
   34       1.530024754946e-10       4.807055057699e-15       2.672807557150e-13       4.767234168899e-17       1.197322672500e-10       1.463186815551e-11      -2.483870917746e-14 
   35       1.552913851604e-10       5.280907939951e-15       2.650977362974e-13       5.050659601558e-17       1.130812148808e-10       1.388870396801e-11      -2.236673325677e-14 
   36       1.576045353373e-10       5.786337966499e-15       2.611238820001e-13       5.342402656703e-17       1.069364873164e-10       1.319512054791e-11      -1.882112610531e-14 
   37       1.599358424450e-10       6.329764207407e-15       2.555817561143e-13       5.642498560554e-17       1.012183118461e-10       1.254237621508e-11      -1.503711661738e-14 
   38       1.622927515988e-10       6.912717213730e-15       2.485923366045e-13       5.950978124793e-17       9.591211106664e-11       1.193064602877e-11      -1.145657226770e-14 
   39       1.646835652470e-10       7.535089672812e-15       2.402711057258e-13       6.267873371285e-17       9.100128927889e-11       1.136073074744e-11      -8.455408157163e-15 
   40       1.671121677953e-10       8.196391743307e-15       2.307668149181e-13       6.593219866123e-17       8.643932740565e-11       1.083065418272e-11      -6.473938764642e-15 
   41       1.695781865319e-10       8.895982932664e-15       2.202052649839e-13       6.927053188375e-17       8.216603248527e-11       1.033662928800e-11      -5.877642548695e-15 
   42       1.720787820748e-10       9.633923641467e-15       2.084941339547e-13       7.269396435744e-17       7.816892647193e-11       9.876955153718e-12      -6.476342861675e-15 
   43       1.746065692985e-10       1.041035522484e-14       1.954577660577e-13       7.620269014293e-17       7.443744563290e-11       9.448954167415e-12      -7.854525637947e-15 
   44       1.771485264249e-10       1.122525582849e-14       1.808876980563e-13       7.979689992835e-17       7.094451305308e-11       9.047686516578e-12      -9.494515953789e-15 
   45       1.796913910165e-10       1.207856898608e-14       1.645757660944e-13       8.347674723843e-17       6.765622707074e-11       8.667507405290e-12      -1.088114060255e-14 
   46       1.822408814290e-10       1.297065705261e-14       1.464302332607e-13       8.724223605332e-17       6.456747905468e-11       8.307703797464e-12      -1.186773772245e-14 
