# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# All scalar field variables are dimensionless. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ur             13:(.)rho_crit           14:(.)rho_scf            15:(.)p_scf              16:Omega_phi_scf         17:theta_phi_scf         18:y_phi_scf             19:gr.fac. D             20:gr.fac. f          
       1.000000000000e+14       7.558503632224e-26       4.634785000235e-09       2.157545946648e+22       1.415521488441e+04       1.415521488441e-10       1.415521488441e+18       2.675958164815e-09       2.751560535470e+44       2.451390603497e+33       1.339408137477e+34       1.903443976270e+44       4.655004511898e+44       3.562701144151e-08      -3.562701144151e-08      -1.200018487102e+02       1.283059095680e-27       6.415295478402e-27       5.370564074879e-18       2.000000000017e+00 
       9.930486593843e+13       7.664693049753e-26       4.667526809499e-09       2.127654528182e+22       1.415521488441e+04       1.425430138860e-10       1.405681716426e+18       2.694689871968e-09       2.675846458098e+44       2.400623788821e+33       1.311669806183e+34       1.851067333040e+44       4.526913791294e+44       3.562701144151e-08      -3.562701144151e-08      -1.199739462552e+02       1.301084792916e-27       6.505423964578e-27       5.446015129567e-18       2.000000000016e+00 
       9.861456399050e+13       7.772374322409e-26       4.700268618762e-09       2.098177236191e+22       1.415521488441e+04       1.435408149832e-10       1.395910344018e+18       2.713552701072e-09       2.602215788102e+44       2.350908324129e+33       1.284505918930e+34       1.800131926217e+44       4.402347714471e+44       3.562701144151e-08      -3.562701144151e-08      -1.199460438003e+02       1.319363733171e-27       6.596818665855e-27       5.522526196123e-18       2.000000000014e+00 
       9.792906056653e+13       7.881568409264e-26       4.733010428026e-09       2.069108333218e+22       1.415521488441e+04       1.445456006881e-10       1.386206895747e+18       2.732547569979e-09       2.530611196824e+44       2.302222436600e+33       1.257904579330e+34       1.750598097619e+44       4.281209294592e+44       3.562701144151e-08      -3.562701144151e-08      -1.199181413453e+02       1.337899474259e-27       6.689497371291e-27       5.600112166653e-18       2.000000000013e+00 
       9.724832231036e+13       7.992296563846e-26       4.765752237290e-09       2.040442161294e+22       1.415521488441e+04       1.455574198929e-10       1.376570899451e+18       2.751675402969e-09       2.460976933110e+44       2.254544804314e+33       1.231854137361e+34       1.702427280332e+44       4.163404213587e+44       3.562701144151e-08      -3.562701144151e-08      -1.198902388904e+02       1.356695623972e-27       6.783478119859e-27       5.678788142483e-18       2.000000000012e+00 
       9.657231609767e+13       8.104580338272e-26       4.800313035958e-09       2.012173140839e+22       1.415521488441e+04       1.465763218321e-10       1.367001886248e+18       2.770937130790e-09       2.393258779894e+44       2.207854546917e+33       1.206343184268e+34       1.655581968676e+44       4.048840748713e+44       3.562701144151e-08      -3.562701144151e-08      -1.198623364354e+02       1.375755840794e-27       6.878779203964e-27       5.758569437097e-18       2.000000000011e+00 
       9.590100903443e+13       8.218441587444e-26       4.833054845221e-09       1.984295769572e+22       1.415521488441e+04       1.476023560850e-10       1.357499390514e+18       2.790333690705e-09       2.327404011992e+44       2.162131216471e+33       1.181360547562e+34       1.610025689010e+44       3.937429701143e+44       3.562701144151e-08      -3.562701144151e-08      -1.198344339805e+02       1.395083834601e-27       6.975419173000e-27       5.839471579119e-18       2.000000000010e+00 
       9.523436845525e+13       8.333902473306e-26       4.867615643889e-09       1.956804621446e+22       1.415521488441e+04       1.486355725776e-10       1.348062949865e+18       2.809866026540e-09       2.263361355047e+44       2.117354788506e+33       1.156895286131e+34       1.565722971329e+44       3.829084326512e+44       3.562701144151e-08      -3.562701144151e-08      -1.198065315255e+02       1.414683367393e-27       7.073416836961e-27       5.921510315335e-18       2.000000000009e+00 
       9.457236192179e+13       8.450985469153e-26       4.900357453153e-09       1.929694345585e+22       1.415521488441e+04       1.496760215856e-10       1.338692105129e+18       2.829535088726e-09       2.201080945604e+44       2.073505653244e+33       1.132936685446e+34       1.522639321645e+44       3.723720267383e+44       3.562701144151e-08      -3.562701144151e-08      -1.197786290706e+02       1.434558254022e-27       7.172791270102e-27       6.004701613755e-18       2.000000000007e+00 
       9.391495722125e+13       8.569713364009e-26       4.934918251820e-09       1.902959665248e+22       1.415521488441e+04       1.507237537367e-10       1.329386400327e+18       2.849341834347e-09       2.140514292293e+44       2.030564607016e+33       1.109474252871e+34       1.480741195137e+44       3.621255487561e+44       3.562701144151e-08      -3.562701144151e-08      -1.197507266157e+02       1.454712362932e-27       7.273561814655e-27       6.089061666727e-18       2.000000000006e+00 
       9.326212236469e+13       8.690109267060e-26       4.969479050487e-09       1.876595376800e+22       1.415521488441e+04       1.517788200129e-10       1.320145382648e+18       2.869287227187e-09       2.081614238068e+44       1.988512843847e+33       1.086497713064e+34       1.439995970030e+44       3.521610208226e+44       3.562701144151e-08      -3.562701144151e-08      -1.197228241607e+02       1.475149616919e-27       7.375748084588e-27       6.174606894083e-18       2.000000000005e+00 
       9.261382558559e+13       8.812196612153e-26       5.004039849155e-09       1.850596348697e+22       1.415521488441e+04       1.528412717529e-10       1.310968602431e+18       2.889372237778e-09       2.024334923495e+44       1.947331947224e+33       1.063997003481e+34       1.400371922191e+44       3.424706845811e+44       3.562701144151e-08      -3.562701144151e-08      -1.196949217058e+02       1.495873993887e-27       7.479369969428e-27       6.261353946338e-18       2.000000000004e+00 
       9.197003533823e+13       8.935999162357e-26       5.040419637226e-09       1.824957520492e+22       1.415521488441e+04       1.539111606552e-10       1.301855613139e+18       2.909597843442e-09       1.968631751041e+44       1.907003882029e+33       1.041962269965e+34       1.361838200436e+44       3.330469951600e+44       3.562701144151e-08      -3.562701144151e-08      -1.196670192508e+02       1.516889527627e-27       7.584447638127e-27       6.349319707931e-18       2.000000000003e+00 
       9.133072029615e+13       9.061541014589e-26       5.074980435893e-09       1.799673901845e+22       1.415521488441e+04       1.549885387798e-10       1.292805971340e+18       2.929965028346e-09       1.914461350357e+44       1.867510986638e+33       1.020383862434e+34       1.324364802505e+44       3.238826152983e+44       3.562701144151e-08      -3.562701144151e-08      -1.196391167959e+02       1.538200308601e-27       7.691001542994e-27       6.438521300508e-18       2.000000000002e+00 
       9.069584935070e+13       9.188846604302e-26       5.109541234560e-09       1.774740571556e+22       1.415521488441e+04       1.560734585513e-10       1.283819236683e+18       2.950474783544e-09       1.861781544502e+44       1.828835965191e+33       9.992523306542e+33       1.287922551705e+44       3.149704096326e+44       3.562701144151e-08      -3.562701144151e-08      -1.196112143409e+02       1.559810484736e-27       7.799052423671e-27       6.528976086259e-18       2.000000000001e+00 
       9.006539160943e+13       9.317940710246e-26       5.145921022631e-09       1.750152676602e+22       1.415521488441e+04       1.571659727611e-10       1.274894971880e+18       2.971128107029e-09       1.810551317112e+44       1.790961880015e+33       9.785584200989e+33       1.252483074190e+44       3.063034391418e+44       3.562701144151e-08      -3.562701144151e-08      -1.195833118860e+02       1.581724262236e-27       7.908621311170e-27       6.620701671294e-18       2.000000000000e+00 
       8.943931639467e+13       9.448848459284e-26       5.182300810702e-09       1.725905431200e+22       1.415521488441e+04       1.582661345704e-10       1.266032742681e+18       2.991926003778e-09       1.760730780460e+44       1.753872144203e+33       9.582930678975e+33       1.218018776871e+44       2.978749557444e+44       3.562701144151e-08      -3.562701144151e-08      -1.195554094310e+02       1.603945906396e-27       8.019729531969e-27       6.713715909074e-18       1.999999999999e+00 
       8.881759324197e+13       9.581595331288e-26       5.218680598773e-09       1.701994115866e+22       1.415521488441e+04       1.593739975124e-10       1.257232117856e+18       3.012869485804e-09       1.712281144399e+44       1.717550514356e+33       9.384473988662e+33       1.184502825932e+44       2.896783970443e+44       3.562701144151e-08      -3.562701144151e-08      -1.195275069761e+02       1.626479742435e-27       8.132398712163e-27       6.808036903881e-18       1.999999999999e+00 
       8.820019189868e+13       9.716207164097e-26       5.255060386844e-09       1.678414076505e+22       1.415521488441e+04       1.604896154950e-10       1.248492669172e+18       3.033959572205e-09       1.665164686165e+44       1.681981083465e+33       9.190127216208e+33       1.151909125938e+44       2.817073812212e+44       3.562701144151e-08      -3.562701144151e-08      -1.194996045211e+02       1.649330156337e-27       8.246650781669e-27       6.903683014344e-18       1.999999999998e+00 
       8.758708232243e+13       9.852710158545e-26       5.291440174915e-09       1.655160723501e+22       1.415521488441e+04       1.616130428035e-10       1.239813971372e+18       3.055197289210e-09       1.619344721000e+44       1.647148273944e+33       8.999805247701e+33       1.120212299515e+44       2.739557020621e+44       3.562701144151e-08      -3.562701144151e-08      -1.194717020662e+02       1.672501595703e-27       8.362507978499e-27       7.000672857012e-18       1.999999999997e+00 
       8.697823467967e+13       9.991130883562e-26       5.329638952389e-09       1.632229530823e+22       1.415521488441e+04       1.627443341031e-10       1.231195602157e+18       3.076583670235e-09       1.574785573594e+44       1.613036830811e+33       8.813424731891e+33       1.089387667592e+44       2.664173241290e+44       3.562701144151e-08      -3.562701144151e-08      -1.194437996113e+02       1.695998570621e-27       8.479992853088e-27       7.099025309980e-18       1.999999999996e+00 
