# Matter power spectrum P(k) at redshift z=0
# for k=1.06564e-05 to 11.2112 h/Mpc,
# number of wavenumbers equal to 617
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.065635475657e-05       4.893856147832e+01 
       2.353772313445e-05       1.048796169276e+02 
       3.646494447829e-05       1.597899827255e+02 
       4.947280444396e-05       2.142814188745e+02 
       6.259666892824e-05       2.686955050171e+02 
       7.587279943743e-05       3.232890408717e+02 
       8.933867860519e-05       3.782838050992e+02 
       1.030333501867e-04       4.338773633066e+02 
       1.169977778898e-04       4.902652336281e+02 
       1.312752274370e-04       5.476368102534e+02 
       1.459116762572e-04       6.061880050440e+02 
       1.609562551465e-04       6.661198355091e+02 
       1.764617260538e-04       7.276386969480e+02 
       1.924849997752e-04       7.909748088642e+02 
       2.090876966757e-04       8.563558302873e+02 
       2.263367524699e-04       9.240402245505e+02 
       2.443050694164e-04       9.942965874810e+02 
       2.630722107888e-04       1.067419250647e+03 
       2.827251329107e-04       1.143724969628e+03 
       3.033589440499e-04       1.223558112537e+03 
       3.250776726784e-04       1.307289647251e+03 
       3.479950186158e-04       1.395322851826e+03 
       3.722350490077e-04       1.488091905660e+03 
       3.979327866989e-04       1.586065525203e+03 
       4.252346213660e-04       1.689745080180e+03 
       4.542984543301e-04       1.799665093817e+03 
       4.852934676364e-04       1.916388338235e+03 
       5.183993893584e-04       2.040504512751e+03 
       5.538051142887e-04       2.172617489002e+03 
       5.917065381214e-04       2.313342318783e+03 
       6.323034813343e-04       2.463293138553e+03 
       6.757956241623e-04       2.623050237456e+03 
       7.223774527260e-04       2.793145552537e+03 
       7.722323301677e-04       2.974067560649e+03 
       8.255259486910e-04       3.166182652136e+03 
       8.823995702839e-04       3.369768509226e+03 
       9.429635955766e-04       3.584953687992e+03 
       1.007292074861e-03       3.811715343617e+03 
       1.075418759350e-03       4.049868633679e+03 
       1.147335167518e-03       4.299060894969e+03 
       1.222990921393e-03       4.558787732818e+03 
       1.302296330596e-03       4.828398100550e+03 
       1.385126926546e-03       5.107107039441e+03 
       1.471329434471e-03       5.394047628052e+03 
       1.560728556956e-03       5.688318876885e+03 
       1.653133939765e-03       5.988974964249e+03 
       1.748346780249e-03       6.295056583153e+03 
       1.846165684618e-03       6.605627797325e+03 
       1.946391543299e-03       6.919785893292e+03 
       2.048831341710e-03       7.236672727616e+03 
       2.153300938591e-03       7.555491144343e+03 
       2.259626919500e-03       7.875506432997e+03 
       2.367647672533e-03       8.196044658463e+03 
       2.477213844734e-03       8.516498159559e+03 
       2.588188330123e-03       8.836319930154e+03 
       2.700445922098e-03       9.155023877470e+03 
       2.813872740256e-03       9.472179418574e+03 
       2.928365518611e-03       9.787403496185e+03 
       3.043830821139e-03       1.010036188779e+04 
       3.160184232656e-03       1.041076299435e+04 
       3.277349558551e-03       1.071835171922e+04 
       3.395258055587e-03       1.102290651377e+04 
       3.513847707517e-03       1.132423771357e+04 
       3.633062553038e-03       1.162218057401e+04 
       3.752852069268e-03       1.191659508572e+04 
       3.873170610926e-03       1.220736251236e+04 
       3.993976903421e-03       1.249437944996e+04 
       4.115233586898e-03       1.277756543197e+04 
       4.236906807592e-03       1.305684675776e+04 
       4.358965852548e-03       1.333216858471e+04 
       4.481382823721e-03       1.360348409511e+04 
       4.604132347582e-03       1.387075970239e+04 
       4.727191316558e-03       1.413396699142e+04 
       4.850538658910e-03       1.439309893336e+04 
       4.974155133912e-03       1.464815423395e+04 
       5.098023149532e-03       1.489909109800e+04 
       5.222126600049e-03       1.514592944251e+04 
       5.346450721351e-03       1.538867516455e+04 
       5.470981961890e-03       1.562741048339e+04 
       5.595707867483e-03       1.586200103350e+04 
       5.720616978399e-03       1.609254694427e+04 
       5.845698737301e-03       1.631898226966e+04 
       5.970943406827e-03       1.654149550315e+04 
       6.096341995698e-03       1.675993277764e+04 
       6.221886192410e-03       1.697443756154e+04 
       6.347568305648e-03       1.718508042788e+04 
       6.473381210675e-03       1.739174258690e+04 
       6.599318301047e-03       1.759459128908e+04 
       6.725373445066e-03       1.779362143695e+04 
       6.851540946447e-03       1.798880030990e+04 
       6.977815508772e-03       1.818033709565e+04 
       7.104192203300e-03       1.836791352492e+04 
       7.230666439802e-03       1.855194555822e+04 
       7.357233940093e-03       1.873226805332e+04 
       7.483890713986e-03       1.890899965799e+04 
       7.610633037428e-03       1.908206398308e+04 
       7.737457432582e-03       1.925147072976e+04 
       7.864360649681e-03       1.941748976200e+04 
       7.991339650460e-03       1.958014082535e+04 
       8.118391593025e-03       1.973913073415e+04 
       8.245513818012e-03       1.989463411844e+04 
       8.372703835920e-03       2.004701994248e+04 
       8.499959315498e-03       2.019600101605e+04 
       8.627278073098e-03       2.034167133552e+04 
       8.754658062897e-03       2.048386135965e+04 
       8.882097367905e-03       2.062303715029e+04 
       9.009594191708e-03       2.075890382813e+04 
       9.137146850850e-03       2.089149431208e+04 
       9.264753767823e-03       2.102116633472e+04 
       9.392413464604e-03       2.114777837370e+04 
       9.520124556681e-03       2.127118566417e+04 
       9.647885747545e-03       2.139155841027e+04 
       9.775695823590e-03       2.150898351556e+04 
       9.903553649409e-03       2.162336940356e+04 
       1.003145816342e-02       2.173489847754e+04 
       1.015940837385e-02       2.184374285019e+04 
       1.028740335495e-02       2.194934518468e+04 
       1.041544224357e-02       2.205247546222e+04 
       1.054352423591e-02       2.215253809854e+04 
       1.067164858454e-02       2.225000882443e+04 
       1.079981459563e-02       2.234457058696e+04 
       1.092802162636e-02       2.243667058171e+04 
       1.105626908254e-02       2.252586650029e+04 
       1.118455641637e-02       2.261259733180e+04 
       1.131288312438e-02       2.269665638017e+04 
       1.144124874548e-02       2.277811531756e+04 
       1.156965285921e-02       2.285709523553e+04 
       1.169809508406e-02       2.293372500963e+04 
       1.182657507588e-02       2.300745839097e+04 
       1.195509252651e-02       2.307911753614e+04 
       1.208364716237e-02       2.314804633543e+04 
       1.221223874328e-02       2.321472112907e+04 
       1.234086706122e-02       2.327901909321e+04 
       1.246953193935e-02       2.334111425808e+04 
       1.259823323091e-02       2.340072856687e+04 
       1.272697081840e-02       2.345797851659e+04 
       1.285574461261e-02       2.351322747554e+04 
