# Matter power spectrum P(k) at redshift z=0
# for k=1.04573e-05 to 10.6861 h/Mpc,
# number of wavenumbers equal to 613
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.349816068097e-02       2.587461273587e+04 
       1.362715077549e-02       2.592041138187e+04 
       1.375617718450e-02       2.596402518407e+04 
       1.388524002104e-02       2.600543547601e+04 
       1.401433942122e-02       2.604455609631e+04 
       1.414347554382e-02       2.608170629798e+04 
       1.427264856996e-02       2.611659818669e+04 
       1.440185870279e-02       2.614945003906e+04 
       1.453110616725e-02       2.617994803915e+04 
       1.466039120979e-02       2.620869613288e+04 
       1.478971409820e-02       2.623523057755e+04 
       1.491907512142e-02       2.625967167154e+04 
       1.504847458939e-02       2.628220832241e+04 
       1.517791283288e-02       2.630281570434e+04 
       1.530739020348e-02       2.632137794758e+04 
       1.543690707343e-02       2.633817507297e+04 
       1.556646383562e-02       2.635300696370e+04 
       1.569606090353e-02       2.636592252685e+04 
       1.582569871126e-02       2.637719616589e+04 
       1.595537771349e-02       2.638643419583e+04 
       1.608509838553e-02       2.639412215387e+04 
       1.621486122340e-02       2.639986644295e+04 
       1.634466674385e-02       2.640387826504e+04 
       1.647451548450e-02       2.640603085334e+04 
       1.660440800392e-02       2.640670601910e+04 
       1.673434488174e-02       2.640559061041e+04 
       1.686432671884e-02       2.640284847233e+04 
       1.699435413747e-02       2.639855185134e+04 
       1.712442778148e-02       2.639255188592e+04 
       1.725454831644e-02       2.638501247507e+04 
       1.738471642992e-02       2.637606347422e+04 
       1.751493283169e-02       2.636539237175e+04 
       1.764519825400e-02       2.635325061448e+04 
       1.777551345178e-02       2.633952269597e+04 
       1.790587920299e-02       2.632442603862e+04 
       1.803629630887e-02       2.630791524457e+04 
       1.816676559428e-02       2.628988713329e+04 
       1.829728790801e-02       2.627050247171e+04 
       1.842786412314e-02       2.624974210695e+04 
       1.855849513742e-02       2.622769243150e+04 
       1.868918187361e-02       2.620422215130e+04 
       1.881992527991e-02       2.617941571878e+04 
       1.895072633036e-02       2.615321641439e+04 
       1.908158602529e-02       2.612596376275e+04 
       1.921250539174e-02       2.609730711547e+04 
       1.934348548396e-02       2.606724100068e+04 
       1.947452738387e-02       2.603623286151e+04 
       1.960563220159e-02       2.600393070734e+04 
       1.973680107592e-02       2.597038130198e+04 
       1.986803517493e-02       2.593571928890e+04 
       1.999933569650e-02       2.589993348805e+04 
       2.013070386889e-02       2.586299784811e+04 
       2.026214095135e-02       2.582488839609e+04 
       2.039364823476e-02       2.578575671030e+04 
       2.052522704222e-02       2.574567149734e+04 
       2.065687872978e-02       2.570440710861e+04 
       2.078860468706e-02       2.566208152448e+04 
       2.092040633802e-02       2.561874498478e+04 
       2.105228514163e-02       2.557467633605e+04 
       2.118424259267e-02       2.552946521144e+04 
       2.131628022249e-02       2.548307919194e+04 
       2.144839959981e-02       2.543581025780e+04 
       2.158060233154e-02       2.538779715092e+04 
       2.171289006367e-02       2.533891214805e+04 
       2.184526448212e-02       2.528885364136e+04 
       2.197772731364e-02       2.523824785818e+04 
       2.211028032679e-02       2.518656519893e+04 
       2.224292533287e-02       2.513416722446e+04 
       2.237566418691e-02       2.508085319806e+04 
       2.250849878876e-02       2.502674239960e+04 
       2.264143108406e-02       2.497174249906e+04 
       2.277446306542e-02       2.491616130779e+04 
       2.290759677349e-02       2.485975968802e+04 
       2.304083429814e-02       2.480266643146e+04 
       2.317417777967e-02       2.474468224666e+04 
       2.330762941005e-02       2.468611169400e+04 
       2.344119143416e-02       2.462670160558e+04 
       2.357486615115e-02       2.456690113770e+04 
       2.370865591578e-02       2.450613056127e+04 
       2.384256313982e-02       2.444485353193e+04 
       2.397659029351e-02       2.438299497998e+04 
       2.411073990702e-02       2.432035016535e+04 
       2.424501457204e-02       2.425714879099e+04 
       2.437941694331e-02       2.419338309166e+04 
       2.451394974032e-02       2.412907000625e+04 
       2.464861574897e-02       2.406410414026e+04 
       2.478341782332e-02       2.399858956991e+04 
       2.491835888741e-02       2.393258107859e+04 
       2.505344193713e-02       2.386604570476e+04 
       2.518867004212e-02       2.379898452994e+04 
       2.532404634782e-02       2.373145403556e+04 
       2.545957407744e-02       2.366342961603e+04 
       2.559525653419e-02       2.359489805850e+04 
       2.573109710339e-02       2.352594513664e+04 
       2.586709925482e-02       2.345650784148e+04 
       2.600326654502e-02       2.338662126593e+04 
       2.613960261973e-02       2.331632217799e+04 
       2.627611121646e-02       2.324562615197e+04 
       2.641279616701e-02       2.317454538144e+04 
       2.654966140024e-02       2.310309804080e+04 
       2.668671094482e-02       2.303117687666e+04 
       2.682394893216e-02       2.295891044872e+04 
       2.696137959933e-02       2.288638329375e+04 
       2.709900729227e-02       2.281337794656e+04 
       2.723683646888e-02       2.274015112583e+04 
       2.737487170247e-02       2.266657306139e+04 
       2.751311768513e-02       2.259269793370e+04 
       2.765157923132e-02       2.251848306684e+04 
       2.779026128164e-02       2.244406475627e+04 
       2.792916890661e-02       2.236928780186e+04 
       2.806830731072e-02       2.229430865134e+04 
       2.820768183655e-02       2.221890475639e+04 
       2.834729796910e-02       2.214342640490e+04 
       2.848716134023e-02       2.206773792706e+04 
       2.862727773336e-02       2.199167783425e+04 
       2.876765308827e-02       2.191545082134e+04 
       2.890829350610e-02       2.183898387157e+04 
       2.904920525464e-02       2.176231912275e+04 
       2.919039477368e-02       2.168549089778e+04 
       2.933186868073e-02       2.160844068922e+04 
       2.947363377683e-02       2.153124604614e+04 
       2.961569705275e-02       2.145382236624e+04 
       2.975806569532e-02       2.137631073636e+04 
       2.990074709406e-02       2.129866356137e+04 
       3.004374884814e-02       2.122079849266e+04 
       3.018707877357e-02       2.114274997286e+04 
       3.033074491074e-02       2.106470295604e+04 
       3.047475553226e-02       2.098648848856e+04 
       3.061911915115e-02       2.090820721771e+04 
       3.076384452940e-02       2.082974958450e+04 
       3.090894068691e-02       2.075112748902e+04 
       3.105441691080e-02       2.067255251456e+04 
       3.120028276518e-02       2.059379034723e+04 
       3.134654810133e-02       2.051496627331e+04 
       3.149322306839e-02       2.043611908748e+04 
       3.164031812451e-02       2.035723121433e+04 
       3.178784404852e-02       2.027814907954e+04 
       3.193581195218e-02       2.019904435235e+04 
       3.208423329302e-02       2.011998687133e+04 
       3.223311988773e-02       2.004080884757e+04 
       3.238248392629e-02       1.996158520596e+04 
       3.253233798676e-02       1.988236365664e+04 
       3.268269505075e-02       1.980303189372e+04 
       3.283356851978e-02       1.972376446643e+04 
       3.298497223236e-02       1.964440772202e+04 
       3.313692048198e-02       1.956512498064e+04 
       3.328942803607e-02       1.948575078836e+04 
       3.344251015588e-02       1.940638515797e+04 
       3.359618261747e-02       1.932701006261e+04 
       3.375046173377e-02       1.924754191068e+04 
       3.390536437786e-02       1.916824943778e+04 
       3.406090800749e-02       1.908887864018e+04 
       3.421711069099e-02       1.900952420524e+04 
       3.437399113460e-02       1.893025203657e+04 
       3.453156871128e-02       1.885087383843e+04 
       3.468986349127e-02       1.877159527796e+04 
       3.484889627434e-02       1.869229737255e+04 
       3.500868862388e-02       1.861303445537e+04 
       3.516926290310e-02       1.853379098033e+04 
       3.533064231327e-02       1.845459571227e+04 
       3.549285093437e-02       1.837539380385e+04 
       3.565591376812e-02       1.829622494892e+04 
       3.581985678373e-02       1.821711010230e+04 
       3.598470696646e-02       1.813805065497e+04 
       3.615049236930e-02       1.805899297314e+04 
       3.631724216793e-02       1.797999881315e+04 
       3.648498671917e-02       1.790095545524e+04 
       3.665375762343e-02       1.782214069067e+04 
       3.682358779111e-02       1.774312597458e+04 
       3.699451151364e-02       1.766425411597e+04 
       3.716656453925e-02       1.758549635900e+04 
       3.733978415403e-02       1.750668911246e+04 
       3.751420926864e-02       1.742792782250e+04 
       3.768988051122e-02       1.734922375226e+04 
       3.786684032689e-02       1.727045468990e+04 
       3.804513308463e-02       1.719178831324e+04 
       3.822480519201e-02       1.711322052623e+04 
       3.840590521849e-02       1.703455481745e+04 
       3.858848402820e-02       1.695594884505e+04 
       3.877259492292e-02       1.687741480796e+04 
       3.895829379630e-02       1.679883319429e+04 
       3.914563930036e-02       1.672034442547e+04 
       3.933469302545e-02       1.664177096529e+04 
       3.952551969498e-02       1.656326538258e+04 
       3.971818737639e-02       1.648473861307e+04 
       3.991276771006e-02       1.640632631004e+04 
       4.010933615785e-02       1.632774988878e+04 
       4.030797227347e-02       1.624926415273e+04 
       4.050875999689e-02       1.617064674226e+04 
       4.071178797542e-02       1.609208368183e+04 
       4.091714991439e-02       1.601351663217e+04 
       4.112494496065e-02       1.593489368212e+04 
       4.133527812271e-02       1.585619125159e+04 
       4.154826073172e-02       1.577746733822e+04 
       4.176401094793e-02       1.569864440645e+04 
       4.198265431839e-02       1.561973165837e+04 
       4.220432439179e-02       1.554079953407e+04 
       4.242916339771e-02       1.546173233561e+04 
       4.265732299848e-02       1.538264562405e+04 
       4.288896512285e-02       1.530331742763e+04 
       4.312426289231e-02       1.522400904768e+04 
       4.336340165261e-02       1.514433966704e+04 
       4.360658012470e-02       1.506465973202e+04 
       4.385401169194e-02       1.498476669082e+04 
       4.410592584295e-02       1.490465812703e+04 
       4.436256979301e-02       1.482434170203e+04 
       4.462421031038e-02       1.474377830284e+04 
       4.489113577904e-02       1.466306283494e+04 
       4.516365853470e-02       1.458199475555e+04 
       4.544211751767e-02       1.450052141920e+04 
       4.572688129441e-02       1.441879136465e+04 
       4.601835150963e-02       1.433675501143e+04 
       4.631696684253e-02       1.425419078412e+04 
       4.662320755609e-02       1.417136365375e+04 
       4.693760074607e-02       1.408791419420e+04 
       4.726072641907e-02       1.400400788158e+04 
       4.759322455683e-02       1.391954517096e+04 
       4.793580335852e-02       1.383454951505e+04 
       4.828924889605e-02       1.374879289037e+04 
       4.865443647193e-02       1.366236024901e+04 
       4.903234403726e-02       1.357502641469e+04 
       4.942406811434e-02       1.348687259850e+04 
       4.983084277787e-02       1.339780476703e+04 
       5.025406238826e-02       1.330762279953e+04 
       5.069530894843e-02       1.321625690376e+04 
       5.115638518221e-02       1.312357769850e+04 
       5.163935472088e-02       1.302942834819e+04 
       5.214659115027e-02       1.293361770693e+04 
       5.268083813088e-02       1.283615045780e+04 
       5.324528337192e-02       1.273623396428e+04 
       5.384364992501e-02       1.263424333935e+04 
       5.448030904514e-02       1.252914942848e+04 
       5.516041967240e-02       1.242112341980e+04 
       5.589010022322e-02       1.230898046346e+04 
       5.667663840285e-02       1.219246508033e+04 
       5.752874324012e-02       1.207064187540e+04 
       5.845683867166e-02       1.194226379721e+04 
       5.947338633355e-02       1.180538678080e+04 
       6.059320073775e-02       1.165865374027e+04 
       6.183367331552e-02       1.149885014911e+04 
       6.321474142673e-02       1.132237583211e+04 
       6.475831978818e-02       1.112429741166e+04 
       6.648678494182e-02       1.089880463495e+04 
       6.842008838153e-02       1.063851191188e+04 
       7.057142547329e-02       1.033593231403e+04 
       7.294235709888e-02       9.984886445500e+03 
       7.551957680786e-02       9.582973514496e+03 
       7.827579949889e-02       9.133999456623e+03 
       8.117522962803e-02       8.649049524129e+03 
       8.418099659683e-02       8.144569112748e+03 
       8.726099193684e-02       7.640294736744e+03 
       9.039043179862e-02       7.155252125907e+03 
       9.355173648605e-02       6.705566624549e+03 
       9.673312771928e-02       6.302696524014e+03 
       9.992700245419e-02       5.952826313047e+03 
       1.031285676225e-01       5.657265347187e+03 
       1.063348459077e-01       5.413102897184e+03 
       1.095440046042e-01       5.214177607191e+03 
       1.127549217605e-01       5.051804534866e+03 
       1.159669127570e-01       4.916310499815e+03 
       1.191795605855e-01       4.797322656278e+03 
       1.223926114514e-01       4.685017860701e+03 
       1.256059109092e-01       4.570935613797e+03 
       1.288193649215e-01       4.448640887374e+03 
       1.320329161617e-01       4.314345571726e+03 
       1.352465296105e-01       4.166664604035e+03 
       1.384601838062e-01       4.006839041421e+03 
       1.416738655317e-01       3.838072813982e+03 
       1.448875665886e-01       3.664876160579e+03 
       1.481012818379e-01       3.492503153022e+03 
       1.513150080100e-01       3.326014195257e+03 
       1.545287429818e-01       3.169804980522e+03 
       1.577424853364e-01       3.027321913709e+03 
       1.609562340951e-01       2.900713816167e+03 
       1.641699885545e-01       2.790771021022e+03 
       1.673837481861e-01       2.697039913133e+03 
       1.705975125748e-01       2.618028942086e+03 
       1.738112813815e-01       2.551423574923e+03 
       1.770250543190e-01       2.494336424835e+03 
       1.802388311373e-01       2.443668698336e+03 
       1.834526116143e-01       2.396507629829e+03 
       1.866663955495e-01       2.350300974489e+03 
       1.898801827596e-01       2.302261663467e+03 
       1.930939730762e-01       2.250668795765e+03 
       1.963077663431e-01       2.194633772526e+03 
       1.995215624154e-01       2.134048239728e+03 
       2.027353611577e-01       2.069645505121e+03 
       2.059491624435e-01       2.002669839479e+03 
       2.091629661545e-01       1.934744858109e+03 
       2.123767721794e-01       1.867566927624e+03 
       2.155905804140e-01       1.802654153006e+03 
       2.188043907601e-01       1.741236946325e+03 
       2.220182031253e-01       1.684293340845e+03 
       2.252320174226e-01       1.632407026259e+03 
       2.284458335697e-01       1.585785856859e+03 
       2.316596514893e-01       1.544380941246e+03 
       2.348734711079e-01       1.507717100408e+03 
       2.380872923565e-01       1.475223894880e+03 
       2.413011151693e-01       1.446010697439e+03 
       2.445149394843e-01       1.419051562647e+03 
       2.477287652428e-01       1.393382030006e+03 
       2.509425923887e-01       1.368102488539e+03 
       2.541564208693e-01       1.342465696595e+03 
       2.573702506342e-01       1.316031682226e+03 
       2.605840816356e-01       1.288487627448e+03 
       2.637979138280e-01       1.259815225227e+03 
       2.670117471681e-01       1.230146550182e+03 
       2.702255816148e-01       1.199764131008e+03 
       2.734394171288e-01       1.169074894991e+03 
       2.766532536727e-01       1.138578269250e+03 
       2.798670912109e-01       1.108751336050e+03 
       2.830809297092e-01       1.080080462700e+03 
       2.862947691352e-01       1.052945441462e+03 
       2.895086094577e-01       1.027598198002e+03 
       2.927224506472e-01       1.004128738305e+03 
       2.959362926751e-01       9.825131674535e+02 
       2.991501355144e-01       9.626003157367e+02 
       3.023639791391e-01       9.441656277223e+02 
       3.055778235241e-01       9.269428180422e+02 
       3.087916686457e-01       9.106430714419e+02 
       3.120055144809e-01       8.949796552188e+02 
       3.152193610079e-01       8.796814912036e+02 
       3.184332082056e-01       8.645313928073e+02 
       3.216470560538e-01       8.493070389672e+02 
       3.248609045330e-01       8.338963488638e+02 
       3.280747536247e-01       8.182524244561e+02 
       3.312886033109e-01       8.024024729651e+02 
       3.345024535745e-01       7.864445518644e+02 
       3.377163043988e-01       7.705093878150e+02 
       3.409301557679e-01       7.547372525971e+02 
       3.441440076665e-01       7.392657060511e+02 
       3.473578600798e-01       7.242357820727e+02 
       3.505717129937e-01       7.097333269625e+02 
       3.537855663943e-01       6.958284961271e+02 
       3.569994202685e-01       6.825915479311e+02 
       3.602132746036e-01       6.700331639517e+02 
       3.634271293873e-01       6.581420288636e+02 
       3.666409846077e-01       6.468629168060e+02 
       3.698548402534e-01       6.361136520369e+02 
       3.730686963134e-01       6.257924688624e+02 
       3.762825527770e-01       6.157906284287e+02 
       3.794964096339e-01       6.060176883222e+02 
       3.827102668741e-01       5.963936909631e+02 
       3.859241244881e-01       5.868725191118e+02 
       3.891379824665e-01       5.774188284270e+02 
       3.923518408004e-01       5.680191417228e+02 
       3.955656994810e-01       5.586620453707e+02 
       3.987795584999e-01       5.493582976287e+02 
       4.019934178491e-01       5.401246896056e+02 
       4.052072775205e-01       5.310021077636e+02 
       4.084211375066e-01       5.220240079093e+02 
       4.116349978000e-01       5.132348751094e+02 
       4.148488583934e-01       5.046742240855e+02 
       4.180627192800e-01       4.963672917386e+02 
       4.212765804530e-01       4.883232220365e+02 
       4.244904419059e-01       4.805493472951e+02 
       4.277043036323e-01       4.730227658248e+02 
       4.309181656261e-01       4.657410290255e+02 
       4.341320278814e-01       4.586945301381e+02 
       4.373458903924e-01       4.518552596209e+02 
       4.405597531533e-01       4.452162208053e+02 
       4.437736161589e-01       4.387438312909e+02 
       4.469874794038e-01       4.324179320023e+02 
       4.502013428828e-01       4.262015818632e+02 
       4.534152065910e-01       4.200773350002e+02 
       4.566290705234e-01       4.140308226740e+02 
       4.598429346755e-01       4.080506975153e+02 
       4.630567990426e-01       4.021392331236e+02 
