# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   42       1.695189622772e-10       9.026164012407e-15       2.177153300681e-13       7.468630440423e-17       8.164607088813e-11       8.910575010982e-12      -5.733019280192e-15 
   43       1.719605473536e-10       9.757091325263e-15       2.059077429749e-13       7.829121525095e-17       7.774654056043e-11       8.520185396593e-12      -6.083977413280e-15 
   44       1.744260695351e-10       1.052544369327e-14       1.927961277623e-13       8.198408940792e-17       7.409678514412e-11       8.154297205780e-12      -7.078425267712e-15 
   45       1.769153020329e-10       1.133049218410e-14       1.782356365071e-13       8.576510177497e-17       7.066133003004e-11       7.812395471635e-12      -8.355767861447e-15 
   46       1.794305029661e-10       1.217240811470e-14       1.621125764957e-13       8.963426504961e-17       6.743478337480e-11       7.493765696524e-12      -9.710226487682e-15 
   47       1.819727787713e-10       1.305157548521e-14       1.443125903037e-13       9.359151506199e-17       6.441339895350e-11       7.196786134841e-12      -1.095628586405e-14 
   48       1.845405584521e-10       1.396832908913e-14       1.247081021659e-13       9.763674156450e-17       6.158384728478e-11       6.918605539083e-12      -1.187663154121e-14 
   49       1.871293577879e-10       1.492295275915e-14       1.031575381919e-13       1.017697856880e-16       5.892250292230e-11       6.655056466834e-12      -1.222049802547e-14 
   50       1.897340942642e-10       1.591567906881e-14       7.954365685869e-14       1.059904340820e-16       5.640256224963e-11       6.401849603593e-12      -1.178559356004e-14 
   51       1.923573196807e-10       1.694669241203e-14       5.390261534858e-14       1.102984053605e-16       5.401932804289e-11       6.158740042364e-12      -1.069392275427e-14 
   52       1.950028146111e-10       1.801612372717e-14       2.632858890368e-14       1.146933555800e-16       5.177055615643e-11       5.926342039374e-12      -9.187977517923e-15 
   53       1.976731199782e-10       1.912404746846e-14      -3.061241955272e-15       1.191748785988e-16       4.964888882078e-11       5.704921055428e-12      -7.555931026167e-15 
   54       2.003694212967e-10       2.027047992022e-14      -3.412563073025e-14       1.237425033764e-16       4.764151042835e-11       5.494367345997e-12      -6.133918861445e-15 
   55       2.030921352433e-10       2.145539079914e-14      -6.673300727259e-14       1.283957460823e-16       4.573405881818e-11       5.294344451080e-12      -5.226780801661e-15 
   56       2.058431051983e-10       2.267874529787e-14      -1.008749506770e-13       1.331342877615e-16       4.392428552190e-11       5.104838364595e-12      -4.842003361747e-15 
   57       2.086237483649e-10       2.394046953324e-14      -1.365790475932e-13       1.379578360761e-16       4.221118609778e-11       4.925698531411e-12      -4.893678466814e-15 
   58       2.114343147563e-10       2.524043703088e-14      -1.738768477953e-13       1.428660738120e-16       4.059086741715e-11       4.756455731202e-12      -5.277375797860e-15 
   59       2.142737988017e-10       2.657846755718e-14      -2.128041594449e-13       1.478586583149e-16       3.905636924880e-11       4.596302482803e-12      -5.869247075697e-15 
   60       2.171398509512e-10       2.795432595130e-14      -2.534013443542e-13       1.529352209256e-16       3.759748584337e-11       4.444073448577e-12      -6.525130344889e-15 
   61       2.200299798403e-10       2.936768819500e-14      -2.957055410728e-13       1.580954448673e-16       3.620360055849e-11       4.298555966666e-12      -7.110604497369e-15 
   62       2.229456740766e-10       3.081803336478e-14      -3.397246263274e-13       1.633393206128e-16       3.487333687107e-11       4.159547429965e-12      -7.601062371064e-15 
   63       2.258890529854e-10       3.230472524423e-14      -3.854579062988e-13       1.686669470967e-16       3.360676689538e-11       4.027001554530e-12      -8.002612894651e-15 
   64       2.288616111842e-10       3.382704078227e-14      -4.329037114211e-13       1.740784602082e-16       3.240250832455e-11       3.900710254753e-12      -8.323197582037e-15 
   65       2.318641711376e-10       3.538416788567e-14      -4.820594355214e-13       1.795740347157e-16       3.125764161654e-11       3.780294522428e-12      -8.572676843990e-15 
   66       2.348968357106e-10       3.697520321144e-14      -5.329215749587e-13       1.851538861925e-16       3.016762718005e-11       3.665195305824e-12      -8.762916299777e-15 
   67       2.379589407229e-10       3.859914995940e-14      -5.854857677631e-13       1.908182729404e-16       2.912622256041e-11       3.554664388753e-12      -8.907873088794e-15 
   68       2.410496654136e-10       4.025500943010e-14      -6.397447682928e-13       1.965674859428e-16       2.812714990555e-11       3.447969261523e-12      -9.021576269316e-15 
   69       2.441701135309e-10       4.194208217635e-14      -6.956818071647e-13       2.024018120542e-16       2.716967582269e-11       3.345076326673e-12      -9.111399882553e-15 
   70       2.473215706294e-10       4.365972418760e-14      -7.532759500006e-13       2.083215667752e-16       2.625401857149e-11       3.246090379533e-12      -9.183575625495e-15 
   71       2.505048533988e-10       4.540725871072e-14      -8.125040294483e-13       2.143271071546e-16       2.537966045361e-11       3.151049282463e-12      -9.245210031525e-15 
   72       2.537202790449e-10       4.718397644057e-14      -8.733406315216e-13       2.204188334082e-16       2.454530976278e-11       3.059920316861e-12      -9.304316922388e-15 
   73       2.569676346693e-10       4.898913571056e-14      -9.357580819388e-13       2.265971905370e-16       2.374886273496e-11       2.972596535170e-12      -9.369849860159e-15 
   74       2.602461466500e-10       5.082196268319e-14      -9.997264324622e-13       2.328626699462e-16       2.298736549839e-11       2.888893112890e-12      -9.451734599215e-15 
   75       2.635544500219e-10       5.268165154069e-14      -1.065213447237e-12       2.392158110636e-16       2.225697602375e-11       2.808543700582e-12      -9.560901538201e-15 
   76       2.668912018926e-10       5.456723027618e-14      -1.132182905595e-12       2.456571043854e-16       2.155391794812e-11       2.731272388513e-12      -9.705960094451e-15 
   77       2.702571185159e-10       5.647712939173e-14      -1.200589183358e-12       2.521866766255e-16       2.087762696224e-11       2.657032815014e-12      -9.882449959604e-15 
   78       2.736532557842e-10       5.840953453116e-14      -1.270381653996e-12       2.588045508253e-16       2.022811171889e-11       2.585806235597e-12      -1.008167961072e-14 
   79       2.770803810171e-10       6.036251137808e-14      -1.341506237104e-12       2.655107394373e-16       1.960499543520e-11       2.517527714916e-12      -1.029387468177e-14 
   80       2.805389555472e-10       6.233400309055e-14      -1.413905350217e-12       2.723052439216e-16       1.900749818195e-11       2.452084029273e-12      -1.050814155554e-14 
   81       2.840291173077e-10       6.432182773566e-14      -1.487517860625e-12       2.791880543439e-16       1.843441917289e-11       2.389311569124e-12      -1.071243095545e-14 
   82       2.875506634192e-10       6.632367572409e-14      -1.562279037193e-12       2.861591489722e-16       1.788411905399e-11       2.328994241586e-12      -1.089350153746e-14 
   83       2.911030327759e-10       6.833710724478e-14      -1.638120502177e-12       2.932184938743e-16       1.735450219273e-11       2.270861372945e-12      -1.103688348194e-14 
   84       2.946856357618e-10       7.035978048477e-14      -1.714977215024e-12       3.003660580003e-16       1.684352603339e-11       2.214652398235e-12      -1.112992806402e-14 
   85       2.982989443421e-10       7.239018537874e-14      -1.792809859576e-12       3.076018621844e-16       1.635086497772e-11       2.160327846322e-12      -1.117161698658e-14 
   86       3.019435515998e-10       7.442702736165e-14      -1.871586097109e-12       3.149259375662e-16       1.587649115123e-11       2.107889648652e-12      -1.116432003526e-14 
   87       3.056198292662e-10       7.646900869262e-14      -1.951273933288e-12       3.223383106869e-16       1.542016314019e-11       2.057316501367e-12      -1.111086891517e-14 
   88       3.093279161417e-10       7.851482976831e-14      -2.031841788179e-12       3.298390033473e-16       1.498141713919e-11       2.008562890289e-12      -1.101457270790e-14 
   89       3.130677065172e-10       8.056319043625e-14      -2.113258566243e-12       3.374280324648e-16       1.455955809870e-11       1.961558115892e-12      -1.087923332859e-14 
   90       3.168388385944e-10       8.261279130816e-14      -2.195493726339e-12       3.451054099315e-16       1.415365087257e-11       1.916205318282e-12      -1.070916098298e-14 
   91       3.206406829074e-10       8.466233507333e-14      -2.278517351730e-12       3.528711424714e-16       1.376251136560e-11       1.872380502181e-12      -1.050918962447e-14 
   92       3.244723307430e-10       8.671052781197e-14      -2.362300220079e-12       3.607252314977e-16       1.338469768105e-11       1.829931561896e-12      -1.028469241117e-14 
   93       3.283328920709e-10       8.875598220080e-14      -2.446806998279e-12       3.686677896380e-16       1.301885225162e-11       1.788715552767e-12      -1.004101611411e-14 
   94       3.322224657398e-10       9.079690762455e-14      -2.531974504115e-12       3.766994106651e-16       1.266480632134e-11       1.748719035559e-12      -9.781653462458e-15 
   95       3.361412944688e-10       9.283137566861e-14      -2.617730289368e-12       3.848208551986e-16       1.232262598345e-11       1.709954113376e-12      -9.509823218401e-15 
   96       3.400894611084e-10       9.485741404102e-14      -2.703999199625e-12       3.930329404355e-16       1.199227201761e-11       1.672421353939e-12      -9.229034114548e-15 
   97       3.440668813100e-10       9.687300653912e-14      -2.790703349909e-12       4.013365416084e-16       1.167359585530e-11       1.636109339564e-12      -8.943092335011e-15 
   98       3.480732961951e-10       9.887609301615e-14      -2.877762100309e-12       4.097325934450e-16       1.136633554526e-11       1.600994217151e-12      -8.656108996498e-15 
   99       3.521082650251e-10       1.008645693480e-13      -2.965092031598e-12       4.182220916269e-16       1.107011171893e-11       1.567039248157e-12      -8.372507629406e-15 
  100       3.561711578706e-10       1.028362873996e-13      -3.052606920870e-12       4.268060942485e-16       1.078442355590e-11       1.534194358584e-12      -8.097031658916e-15 
  101       3.602611482813e-10       1.047890549919e-13      -3.140217717162e-12       4.354857232762e-16       1.050864474929e-11       1.502395688954e-12      -7.834751886083e-15 
  102       3.643772059549e-10       1.067206358682e-13      -3.227832517082e-12       4.442621660073e-16       1.024201947123e-11       1.471565144297e-12      -7.591073968930e-15 
  103       3.685180894073e-10       1.086287496609e-13      -3.315356540437e-12       4.531366765288e-16       9.983658338253e-12       1.441609944128e-12      -7.371745903537e-15 
  104       3.726826093725e-10       1.105111767931e-13      -3.402697990372e-12       4.621104456597e-16       9.732740036858e-12       1.412444218291e-12      -7.181533167203e-15 
  105       3.768704753161e-10       1.123660893921e-13      -3.489786587839e-12       4.711841876244e-16       9.489155909177e-12       1.384058086193e-12      -7.020024210646e-15 
  106       3.810815501398e-10       1.141917652237e-13      -3.576557507087e-12       4.803585000051e-16       9.252945325185e-12       1.356457113648e-12      -6.885269658067e-15 
